,bathrooms,bedrooms,city,country,currency,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,livingArea,longitude,lotAreaUnit,lotAreaValue,openHouse,price,priceForHDP,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid,listing_sub_type.is_FSBA,listing_sub_type.is_openHouse,open_house_info.open_house_showing,datePriceChanged,priceChange,priceReduction,newConstructionType,listing_sub_type.is_newHome
0,2.0,2.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/9ac0d58bd947990e98a7c6feddc32060-p_e.jpg,False,True,False,False,False,False,False,34.025856,1004.0,-118.501976,sqft,7483.608,Sat. 2-4pm,1165000.0,1165000.0,4490.0,False,CA,817 6th St APT A,964245.0,115211000,Apt A,1157100.0,90403,20484992,True,True,"[{'open_house_end': 1760223600000, 'open_house_start': 1760216400000}, {'open_house_end': 1760313600000, 'open_house_start': 1760302800000}]",,,,,
1,4.0,3.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/c6843720f4bebc52801ff6fdece15ed9-p_e.jpg,False,True,False,False,False,False,False,34.034615,1469.0,-118.48012,sqft,6211.656,,1199000.0,1199000.0,,False,CA,1147 24th St #A-B,,6332639000,# A-B,1234900.0,90403,455351929,True,,,1759215600000.0,-150000.0,"$150,000 (Sep 30)",,
2,3.0,2.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/cfc9a51e88f475eb8339bcdcb49dab43-p_e.jpg,False,True,False,False,False,False,False,34.017593,1418.0,-118.48273,sqft,7514.0,,990000.0,990000.0,4918.0,False,CA,1754 11th St UNIT 101,391903.0,284210000,Unit 101,1005000.0,90404,20479916,True,,,,,,,
3,15.0,11.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fa16ff881b0352aa744bad0da9c936fb-p_e.jpg,False,True,False,False,False,False,False,34.0192,9899.0,-118.505844,sqft,5505.984,,38500000.0,38500000.0,,False,CA,938-940 Palisades Beach Rd,,1001423000,,,90403,456957893,True,,,,,,,
4,1.0,1.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0ab3516293ce9fa2c72e5acecfb6a505-p_e.jpg,False,True,False,False,False,False,False,34.02828,440.0,-118.49284,sqft,1319.868,,999000.0,999000.0,,False,CA,1012 1/2 Euclid St,913190.0,17922338000,,,90403,20478685,True,,,1755327600000.0,-101000.0,"$101,000 (Aug 16)",,
5,1.0,1.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/379ba2c7ab01cefcfd37b14e2bc5cde8-p_e.jpg,False,True,False,False,False,False,False,34.020752,1043.0,-118.50077,acres,0.6892791551882461,,599100.0,599100.0,4503.0,False,CA,1040 4th St #112,634173.0,131439410000,# 112,,90403,20485330,True,,,1756364400000.0,-40800.0,"$40,800 (Aug 28)",,
6,6.0,4.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3cbebb772f87fa1e60b32a4072e6f2e4-p_e.jpg,False,True,False,False,False,False,False,34.01903,5030.0,-118.50577,sqft,5536.476,,19500000.0,19500000.0,5702.0,False,CA,940 Palisades Beach Rd,3959878.0,1001423000,,18681200.0,90403,20485846,True,,,,,,,
7,2.0,2.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/ca026d0c07e1a36cfd5bf28f6dc994ba-p_e.jpg,False,True,False,False,False,False,False,34.02569,918.0,-118.501,sqft,7483.608,,899000.0,899000.0,4221.0,False,CA,844 7th St APT 1,393971.0,9899414000,Apt 1,903700.0,90403,20484960,True,,,1756882800000.0,-30000.0,"$30,000 (Sep 3)",,
8,1.0,1.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/08b9533ab23c1b4c70048324e8396623-p_e.jpg,False,True,False,False,False,False,False,34.02662,722.0,-118.47892,acres,0.3446,,499000.0,499000.0,2931.0,False,CA,1912 Broadway APT 107,396594.0,12120882000,Apt 107,,90404,92426247,True,,,1750316400000.0,-51000.0,,,
9,2.0,2.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/3b06e5e0488deefa29c54c646138d377-p_e.jpg,False,True,False,False,False,False,False,34.02153,1355.0,-118.5035,acres,0.3446,,1149000.0,1149000.0,5402.0,False,CA,930 3rd St APT 307,1250469.0,6080657000,Apt 307,1150800.0,90403,20485470,True,,,,,,,
10,6.0,6.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8221c459d7209f84c2873d0bc6c1210a-p_e.jpg,False,True,False,False,False,False,False,34.03766,5900.0,-118.50507,acres,0.2881,,8995000.0,8995000.0,28257.0,False,CA,1202 San Vicente Blvd,4584595.0,13354751000,,,90402,20477450,True,,,1750230000000.0,-454000.0,,,
11,3.0,2.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/6568e5c8d02ed024670101238ed99590-p_e.jpg,False,True,False,False,False,False,False,34.024708,1865.0,-118.51018,acres,1.5479,,2649000.0,2649000.0,,False,CA,515 Ocean Ave UNIT 502N,,2445326000,Unit 502N,,90402,456559605,True,,,,,,,
12,4.0,6.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/990c03a3a764ff219370730760d0802b-p_e.jpg,False,True,False,False,False,False,False,34.03985,3103.0,-118.50098,sqft,7527.168,,3995000.0,3995000.0,,False,CA,212 16th St,286706.0,4529628000,,,90402,20477160,True,,,1758870000000.0,45000.0,,,
13,2.0,2.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/77e1c5f102c9809df8452a3552bb6117-p_e.jpg,False,True,False,False,False,False,False,34.025658,2000.0,-118.50825,sqft,10624.284,,5395000.0,5395000.0,4919.0,False,CA,227 Alta Ave,3163774.0,2718797000,,5296100.0,90402,20486265,True,,,1757055600000.0,-100000.0,"$100,000 (Sep 5)",,
14,3.0,3.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/521d94e157f6515eafa98cde3d7329a4-p_e.jpg,False,True,False,False,False,False,False,34.033016,1803.0,-118.47912,sqft,5318.676,,1360000.0,1360000.0,6633.0,False,CA,1240 24th St UNIT 3,1456414.0,6951843000,Unit 3,1354400.0,90404,20474535,True,,,1756364400000.0,-30000.0,"$30,000 (Aug 28)",,
15,3.0,6.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7dedc9fefc17595800163e0a1cafdafb-p_e.jpg,False,True,False,False,False,False,False,34.016705,2751.0,-118.47945,sqft,7497.0,,1950000.0,1950000.0,5535.0,False,CA,1836 Euclid St,1250567.0,716210000,,1930900.0,90404,20480089,True,,,,,,,
16,4.0,3.0,Santa Monica,USA,USD,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/5e1918eb31e27195c58ccfd65c4db5b5-p_e.jpg,False,True,False,False,False,False,False,34.030945,1850.0,-118.4895,sqft,7505.388,,1795000.0,1795000.0,7588.0,False,CA,1013 16th St UNIT 101,1210486.0,6503423000,Unit 101,1780000.0,90403,20478100,True,,,,,,,
